asset_id,scene_id,asset_type,provenance_class,source_id,generator_or_origin,version,status,storage_uri,sha256,rights_or_usage_note,notes
G057,B079,GENERATED_PLATE,GENERATED_SOURCE_STYLED,RV061,Higgsfield GPT Image 2 1k/low/16:9 0.5 credit/job,v18,PLANNED_LOCKED_NO_SPEND,,,Generated plate grounded by Stage01B refs; source rights remain attached to inputs.,Final prompt in 12A_R2_HIGGSFIELD_PROMPTS.csv (VIDEO001 R7 grammar); in-frame locked headline only; generation not run.
G058,B080,GENERATED_PLATE,GENERATED_SOURCE_STYLED,RV004,Higgsfield GPT Image 2 1k/low/16:9 0.5 credit/job,v18,PLANNED_LOCKED_NO_SPEND,,,Generated plate grounded by Stage01B refs; source rights remain attached to inputs.,Final prompt in 12A_R2_HIGGSFIELD_PROMPTS.csv (VIDEO001 R7 grammar); in-frame locked headline only; generation not run.
G059,B081,GENERATED_PLATE,GENERATED_SOURCE_STYLED,RV063;RV064,Higgsfield GPT Image 2 1k/low/16:9 0.5 credit/job,v18,PLANNED_LOCKED_NO_SPEND,,,Generated plate grounded by Stage01B refs; source rights remain attached to inputs.,Final prompt in 12A_R2_HIGGSFIELD_PROMPTS.csv (VIDEO001 R7 grammar); in-frame locked headline only; generation not run.
G060,B082,GENERATED_PLATE,GENERATED_SOURCE_STYLED,RV065;RV066,Higgsfield GPT Image 2 1k/low/16:9 0.5 credit/job,v18,PLANNED_LOCKED_NO_SPEND,,,Generated plate grounded by Stage01B refs; source rights remain attached to inputs.,Final prompt in 12A_R2_HIGGSFIELD_PROMPTS.csv (VIDEO001 R7 grammar); in-frame locked headline only; generation not run.
GFX_B083,B083,EDITOR_GFX,EDITOR_RECREATION_VERIFIED_FACTS,,Deterministic editor-native graphics,v17,SPEC_LOCKED_NOT_RENDERED,,,Editor-native verified factual graphic.,Exact GFX spec DEC17_TO_DEC20_PAYMENT_TIMELINE; no generative typography.
G061,B084,GENERATED_PLATE,GENERATED_SOURCE_STYLED,RV025;RV049,Higgsfield GPT Image 2 1k/low/16:9 0.5 credit/job,v18,PLANNED_LOCKED_NO_SPEND,,,Generated plate grounded by Stage01B refs; source rights remain attached to inputs.,Final prompt in 12A_R2_HIGGSFIELD_PROMPTS.csv (VIDEO001 R7 grammar); in-frame locked headline only; generation not run.
G062,B085,GENERATED_PLATE,GENERATED_SOURCE_STYLED,RV062,Higgsfield GPT Image 2 1k/low/16:9 0.5 credit/job,v18,PLANNED_LOCKED_NO_SPEND,,,Generated plate grounded by Stage01B refs; source rights remain attached to inputs.,Final prompt in 12A_R2_HIGGSFIELD_PROMPTS.csv (VIDEO001 R7 grammar); in-frame locked headline only; generation not run.
GFX_B086,B086,EDITOR_GFX,EDITOR_RECREATION_VERIFIED_FACTS,,Deterministic editor-native graphics,v17,SPEC_LOCKED_NOT_RENDERED,,,Editor-native verified factual graphic.,Exact GFX spec $20B_VS_$1B_TWO_NUMBER_SPLIT; no generative typography.
G063,B087,GENERATED_PLATE,GENERATED_SOURCE_STYLED,RV025,Higgsfield GPT Image 2 1k/low/16:9 0.5 credit/job,v18,PLANNED_LOCKED_NO_SPEND,,,Generated plate grounded by Stage01B refs; source rights remain attached to inputs.,Final prompt in 12A_R2_HIGGSFIELD_PROMPTS.csv (VIDEO001 R7 grammar); in-frame locked headline only; generation not run.
G064,B088,GENERATED_PLATE,GENERATED_SOURCE_STYLED,RV063;RV064,Higgsfield GPT Image 2 1k/low/16:9 0.5 credit/job,v18,PLANNED_LOCKED_NO_SPEND,,,Generated plate grounded by Stage01B refs; source rights remain attached to inputs.,Final prompt in 12A_R2_HIGGSFIELD_PROMPTS.csv (VIDEO001 R7 grammar); in-frame locked headline only; generation not run.
G065,B089,GENERATED_PLATE,GENERATED_SOURCE_STYLED,RV063;RV064,Higgsfield GPT Image 2 1k/low/16:9 0.5 credit/job,v18,PLANNED_LOCKED_NO_SPEND,,,Generated plate grounded by Stage01B refs; source rights remain attached to inputs.,Final prompt in 12A_R2_HIGGSFIELD_PROMPTS.csv (VIDEO001 R7 grammar); in-frame locked headline only; generation not run.
G066,B090,GENERATED_PLATE,GENERATED_SOURCE_STYLED,RV047,Higgsfield GPT Image 2 1k/low/16:9 0.5 credit/job,v18,PLANNED_LOCKED_NO_SPEND,,,Generated plate grounded by Stage01B refs; source rights remain attached to inputs.,Final prompt in 12A_R2_HIGGSFIELD_PROMPTS.csv (VIDEO001 R7 grammar); in-frame locked headline only; generation not run.
GFX_B091,B091,EDITOR_GFX,EDITOR_RECREATION_VERIFIED_FACTS,,Deterministic editor-native graphics,v17,SPEC_LOCKED_NOT_RENDERED,,,Editor-native verified factual graphic.,Exact GFX spec NO_$21B_TOTAL; no generative typography.
G067,B092,GENERATED_PLATE,GENERATED_SOURCE_STYLED,RV049,Higgsfield GPT Image 2 1k/low/16:9 0.5 credit/job,v18,PLANNED_LOCKED_NO_SPEND,,,Generated plate grounded by Stage01B refs; source rights remain attached to inputs.,Final prompt in 12A_R2_HIGGSFIELD_PROMPTS.csv (VIDEO001 R7 grammar); in-frame locked headline only; generation not run.
G068,B093,GENERATED_PLATE,GENERATED_SOURCE_STYLED,RV015;RV025,Higgsfield GPT Image 2 1k/low/16:9 0.5 credit/job,v18,PLANNED_LOCKED_NO_SPEND,,,Generated plate grounded by Stage01B refs; source rights remain attached to inputs.,Final prompt in 12A_R2_HIGGSFIELD_PROMPTS.csv (VIDEO001 R7 grammar); in-frame locked headline only; generation not run.
G069,B094,GENERATED_PLATE,GENERATED_SOURCE_STYLED,RV064,Higgsfield GPT Image 2 1k/low/16:9 0.5 credit/job,v18,PLANNED_LOCKED_NO_SPEND,,,Generated plate grounded by Stage01B refs; source rights remain attached to inputs.,Final prompt in 12A_R2_HIGGSFIELD_PROMPTS.csv (VIDEO001 R7 grammar); in-frame locked headline only; generation not run.
G070,B095,GENERATED_PLATE,GENERATED_SOURCE_STYLED,RV019;RV072,Higgsfield GPT Image 2 1k/low/16:9 0.5 credit/job,v18,PLANNED_LOCKED_NO_SPEND,,,Generated plate grounded by Stage01B refs; source rights remain attached to inputs.,Final prompt in 12A_R2_HIGGSFIELD_PROMPTS.csv (VIDEO001 R7 grammar); in-frame locked headline only; generation not run.
G071,B096,GENERATED_PLATE,GENERATED_SOURCE_STYLED,RV071,Higgsfield GPT Image 2 1k/low/16:9 0.5 credit/job,v18,PLANNED_LOCKED_NO_SPEND,,,Generated plate grounded by Stage01B refs; source rights remain attached to inputs.,Final prompt in 12A_R2_HIGGSFIELD_PROMPTS.csv (VIDEO001 R7 grammar); in-frame locked headline only; generation not run.
G072,B097,GENERATED_PLATE,GENERATED_SOURCE_STYLED,RV020,Higgsfield GPT Image 2 1k/low/16:9 0.5 credit/job,v18,PLANNED_LOCKED_NO_SPEND,,,Generated plate grounded by Stage01B refs; source rights remain attached to inputs.,Final prompt in 12A_R2_HIGGSFIELD_PROMPTS.csv (VIDEO001 R7 grammar); in-frame locked headline only; generation not run.
G073,B098,GENERATED_PLATE,GENERATED_SOURCE_STYLED,RV021;RV049,Higgsfield GPT Image 2 1k/low/16:9 0.5 credit/job,v18,PLANNED_LOCKED_NO_SPEND,,,Generated plate grounded by Stage01B refs; source rights remain attached to inputs.,Final prompt in 12A_R2_HIGGSFIELD_PROMPTS.csv (VIDEO001 R7 grammar); in-frame locked headline only; generation not run.
G074,B099,GENERATED_PLATE,GENERATED_SOURCE_STYLED,RV023,Higgsfield GPT Image 2 1k/low/16:9 0.5 credit/job,v18,PLANNED_LOCKED_NO_SPEND,,,Generated plate grounded by Stage01B refs; source rights remain attached to inputs.,Final prompt in 12A_R2_HIGGSFIELD_PROMPTS.csv (VIDEO001 R7 grammar); in-frame locked headline only; generation not run.
G075,B100,GENERATED_PLATE,GENERATED_SOURCE_STYLED,RV018,Higgsfield GPT Image 2 1k/low/16:9 0.5 credit/job,v18,PLANNED_LOCKED_NO_SPEND,,,Generated plate grounded by Stage01B refs; source rights remain attached to inputs.,Final prompt in 12A_R2_HIGGSFIELD_PROMPTS.csv (VIDEO001 R7 grammar); in-frame locked headline only; generation not run.
G076,B101,GENERATED_PLATE,GENERATED_SOURCE_STYLED,RV022,Higgsfield GPT Image 2 1k/low/16:9 0.5 credit/job,v18,PLANNED_LOCKED_NO_SPEND,,,Generated plate grounded by Stage01B refs; source rights remain attached to inputs.,Final prompt in 12A_R2_HIGGSFIELD_PROMPTS.csv (VIDEO001 R7 grammar); in-frame locked headline only; generation not run.
G077,B102,GENERATED_PLATE,GENERATED_SOURCE_STYLED,RV025;RV049,Higgsfield GPT Image 2 1k/low/16:9 0.5 credit/job,v18,PLANNED_LOCKED_NO_SPEND,,,Generated plate grounded by Stage01B refs; source rights remain attached to inputs.,Final prompt in 12A_R2_HIGGSFIELD_PROMPTS.csv (VIDEO001 R7 grammar); in-frame locked headline only; generation not run.
G078,B103,GENERATED_PLATE,GENERATED_SOURCE_STYLED,RV051,Higgsfield GPT Image 2 1k/low/16:9 0.5 credit/job,v18,PLANNED_LOCKED_NO_SPEND,,,Generated plate grounded by Stage01B refs; source rights remain attached to inputs.,Final prompt in 12A_R2_HIGGSFIELD_PROMPTS.csv (VIDEO001 R7 grammar); in-frame locked headline only; generation not run.
G079,B104,GENERATED_PLATE,GENERATED_SOURCE_STYLED,RV056;RV057,Higgsfield GPT Image 2 1k/low/16:9 0.5 credit/job,v18,PLANNED_LOCKED_NO_SPEND,,,Generated plate grounded by Stage01B refs; source rights remain attached to inputs.,Final prompt in 12A_R2_HIGGSFIELD_PROMPTS.csv (VIDEO001 R7 grammar); in-frame locked headline only; generation not run.
G080,B105,GENERATED_PLATE,GENERATED_SOURCE_STYLED,RV054;RV068;RV070,Higgsfield GPT Image 2 1k/low/16:9 0.5 credit/job,v18,PLANNED_LOCKED_NO_SPEND,,,Generated plate grounded by Stage01B refs; source rights remain attached to inputs.,Final prompt in 12A_R2_HIGGSFIELD_PROMPTS.csv (VIDEO001 R7 grammar); in-frame locked headline only; generation not run.
G081,B106,GENERATED_PLATE,GENERATED_SOURCE_STYLED,RV061,Higgsfield GPT Image 2 1k/low/16:9 0.5 credit/job,v18,PLANNED_LOCKED_NO_SPEND,,,Generated plate grounded by Stage01B refs; source rights remain attached to inputs.,Final prompt in 12A_R2_HIGGSFIELD_PROMPTS.csv (VIDEO001 R7 grammar); in-frame locked headline only; generation not run.
G082,B107,GENERATED_PLATE,GENERATED_SOURCE_STYLED,RV062;RV063,Higgsfield GPT Image 2 1k/low/16:9 0.5 credit/job,v18,PLANNED_LOCKED_NO_SPEND,,,Generated plate grounded by Stage01B refs; source rights remain attached to inputs.,Final prompt in 12A_R2_HIGGSFIELD_PROMPTS.csv (VIDEO001 R7 grammar); in-frame locked headline only; generation not run.
G083,B108,GENERATED_PLATE,GENERATED_SOURCE_STYLED,RV049,Higgsfield GPT Image 2 1k/low/16:9 0.5 credit/job,v18,PLANNED_LOCKED_NO_SPEND,,,Generated plate grounded by Stage01B refs; source rights remain attached to inputs.,Final prompt in 12A_R2_HIGGSFIELD_PROMPTS.csv (VIDEO001 R7 grammar); in-frame locked headline only; generation not run.
G084,B109,GENERATED_PLATE,GENERATED_SOURCE_STYLED,RV052;RV068,Higgsfield GPT Image 2 1k/low/16:9 0.5 credit/job,v18,PLANNED_LOCKED_NO_SPEND,,,Generated plate grounded by Stage01B refs; source rights remain attached to inputs.,Final prompt in 12A_R2_HIGGSFIELD_PROMPTS.csv (VIDEO001 R7 grammar); in-frame locked headline only; generation not run.
G085,B110,GENERATED_PLATE,GENERATED_SOURCE_STYLED,RV049;RV065;RV066,Higgsfield GPT Image 2 1k/low/16:9 0.5 credit/job,v18,PLANNED_LOCKED_NO_SPEND,,,Generated plate grounded by Stage01B refs; source rights remain attached to inputs.,Final prompt in 12A_R2_HIGGSFIELD_PROMPTS.csv (VIDEO001 R7 grammar); in-frame locked headline only; generation not run.
